frequency;C1;r DF;i DF;;
4.39e+09;4.45e-12;0.87592;0;0,876;4,45E-12
4.39e+09;4,51E-07;114.816;0;1,14816;4,51E-12
4.39e+09;4,56E-07;164.783;0;1,64783;4,56E-12
4.39e+09;4,62E-07;286.442;0;2,86442;4,62E-12
4.39e+09;4,67E-07;102.571;0;10,2571;4,67E-12
4.39e+09;4,73E-07;674.716;0;6,74716;4,73E-12
4.39e+09;4,78E-07;257.595;0;2,57595;4,78E-12
4.39e+09;4,84E-07;160.593;0;1,60593;4,84E-12
4.39e+09;4,89E-07;117.391;0;1,17391;4,89E-12
4.39e+09;4.95e-12;0.929478;0;0,929;4,95E-12
;;;;;
;;;;;
;;;;4,45E-12;0,876
;;;;4,45E-12;0,876
;;;;4,45E-12;0,876
;;;;4,45E-12;0,876
;;;;4,45E-12;0,876
;;;;4,45E-12;0,876
;;;;4,45E-12;0,876
;;;;4,45E-12;0,876
;;;;4,45E-12;0,876
;;;;4,45E-12;0,876
